,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
237902,A-2954515,2,2020-12-31 01:52:24,2020-12-31 03:11:19,34.746497,-81.085508,34.745702,-81.08733,0.117,Incident on SC-9 near SC-909 Drive with caution.,,Oakley Hall School Rd,R,Chester,Chester,SC,29706,US,US/Eastern,KDCM,2020-12-31 01:55:00,41.0,41.0,81.0,29.49,10.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238090,A-2954705,2,2020-12-31 19:18:00,2020-12-31 21:32:08,38.08343,-122.11427,38.07085,-122.12579,1.071,SB 680 JSO LAKE HERMAN. [Notification] [CHP]-Problem changed from 1183-Trfc Collision-Unkn Inj to 1179-Trfc Collision-1141 Enrt by CHP,,I-680 S,R,Benicia,Solano,CA,94510,US,US/Pacific,KCCR,2020-12-31 18:53:00,51.0,51.0,71.0,30.07,10.0,SE,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238116,A-2954733,2,2020-12-31 16:29:30,2020-12-31 23:03:24,29.783579,-95.473688,29.783409,-95.458836,0.891,Slow traffic on US-90 E - I-10 E from Wirt Rd/Chimney Rock Rd (I-10) to I-610/Exit 763 (I-10) due to accident.,,I-10 E,R,Houston,Harris,TX,77024,US,US/Central,KMCJ,2020-12-31 16:53:00,50.0,50.0,89.0,29.62,10.0,WSW,17.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
238212,A-2954830,2,2020-12-31 14:30:30,2020-12-31 20:33:52,25.630294,-80.414718,25.626204,-80.414586,0.283,Slow traffic from SW 120th St (SW 137th Ave) to Coral Reef Dr/SW 152nd St (SW 137th Ave) due to accident.,14764.0, SW 137th Ave,R,Miami,Miami-Dade,FL,33186,US,US/Eastern,KTMB,2020-12-31 14:33:00,,,,30.06,10.0,SSE,16.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
238277,A-2954896,2,2020-12-31 14:36:21,2020-12-31 15:51:21,29.786764,-95.370463,29.79222,-95.371767,0.385,Incident on I-45 NB near N MAIN ST Expect long delays.,,I-45 N,R,Houston,Harris,TX,77009,US,US/Central,KMCJ,2020-12-31 14:29:00,57.0,57.0,89.0,29.53,10.0,SW,14.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
238284,A-2954903,2,2020-12-31 01:28:00,2020-12-31 03:48:31,33.928098,-118.10329,33.924539,-118.104269,0.252,Incident on I-605 SB near FIRESTONE BLVD Drive with caution.,,I-605 S,R,Norwalk,Los Angeles,CA,90650,US,US/Pacific,KFUL,2020-12-31 01:53:00,47.0,47.0,59.0,29.97,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238418,A-2955040,2,2020-12-31 08:33:38,2020-12-31 10:18:38,42.462641,-123.318325,42.464921,-123.323475,0.306,A crash has occurred causing no to minimum delays. Use caution.,,I-5 N,R,Grants Pass,Josephine,OR,97526,US,US/Pacific,KSXT,2020-12-31 08:56:00,35.0,28.0,96.0,26.23,,SSW,9.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
238526,A-2955151,2,2020-12-31 06:48:00,2020-12-31 08:03:20,28.317539,-81.648494,28.317536,-81.648666,0.01,Incident on FLORENCE VILLA GROVE RD near WESTSIDE BLVD Drive with caution.,3399.0, N Goodman Rd,R,Kissimmee,Osceola,FL,34747,US,US/Eastern,KISM,2020-12-31 06:56:00,67.0,67.0,93.0,30.03,10.0,SE,8.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
238531,A-2955156,2,2020-12-31 02:33:00,2020-12-31 05:38:03,34.314153,-117.837246,34.314471,-117.836653,0.04,Incident on CA-39 SB near CRYSTAL LAKE RD Drive with caution.,,San Gabriel Canyon Rd,R,Valyermo,Los Angeles,CA,93563,US,US/Pacific,KGXA,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238834,A-2955463,2,2020-12-31 04:05:55,2020-12-31 05:26:46,36.128314,-86.90075,36.131884,-86.89748,0.307,Incident on I-40 EB near CHARLOTTE PIKE Expect long delays.,,I-40 E,R,Nashville,Davidson,TN,37205,US,US/Central,KBNA,2020-12-31 03:53:00,39.0,36.0,100.0,29.48,6.0,NNW,5.0,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238841,A-2955470,2,2020-12-31 13:44:00,2020-12-31 17:32:21,34.081753,-117.709263,34.081675,-117.704801,0.255,2 VEH 20001- COP ONLY,,I-10 E,R,Montclair,San Bernardino,CA,91763,US,US/Pacific,KPOC,2020-12-31 13:47:00,61.0,61.0,39.0,28.84,10.0,SSW,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
238846,A-2955475,2,2020-12-31 17:44:00,2020-12-31 19:50:13,30.183624,-97.849848,30.182026,-97.850793,0.124,Incident on BRODIE LN near W SLAUGHTER LN Drive with caution.,3500.0, W Slaughter Ln,L,Austin,Travis,TX,78749-4421,US,US/Central,KATT,2020-12-31 17:46:00,39.0,35.0,87.0,29.02,10.0,W,6.0,0.02,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
238898,A-2955527,2,2020-12-31 00:42:50,2020-12-31 01:38:24,28.546478,-81.503127,28.544999,-81.512824,0.597,Slow traffic on FL-408 W from Hiawassee Rd/Exit 4 (FL-408) to FL-50/Colonial Dr (FL-408) due to accident.,,E West Expy W,R,Orlando,Orange,FL,32835,US,US/Eastern,KORL,2020-12-31 00:53:00,70.0,70.0,76.0,30.01,10.0,ESE,7.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238913,A-2955542,2,2020-12-31 01:12:00,2020-12-31 03:25:36,33.848243,-117.534195,33.858973,-117.536085,0.749,I15 N NO ONTARIO AVE. BOTH ON RS,,I-15 N,R,Corona,Riverside,CA,92881,US,US/Pacific,KAJO,2020-12-31 00:56:00,39.0,39.0,82.0,29.53,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
238955,A-2955585,2,2020-12-31 18:35:29,2020-12-31 21:56:41,45.615173,-95.531152,45.615234,-95.531151,0.004,Incident on MN-114 near MN-29 Drive with caution.,709.0, N Main St,R,Starbuck,Pope,MN,56381-9766,US,US/Central,KGHW,2020-12-31 18:35:00,18.0,7.0,93.0,28.61,10.0,SE,8.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
239009,A-2955639,2,2020-12-31 14:19:00,2020-12-31 15:40:21,38.873704,-77.044001,38.873111,-77.044529,0.05,Incident on I-395 SB near MM 10 Expect delays.,,Henry Shirley Memorial Hwy S,R,Arlington,Arlington,VA,22202,US,US/Eastern,KDCA,2020-12-31 13:52:00,52.0,52.0,53.0,30.17,10.0,NW,12.0,,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
239204,A-2955836,2,2020-12-31 01:09:00,2020-12-31 03:21:22,34.480265,-118.292675,34.489082,-118.286315,0.709,ESCONDIDO AT SB 14. 1039 FD COPIES 1022,,Antelope Valley Fwy N,R,Acton,Los Angeles,CA,93510,US,US/Pacific,KPMD,2020-12-31 00:53:00,43.0,38.0,34.0,27.42,10.0,SW,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239259,A-2955891,2,2020-12-31 20:43:17,2020-12-31 23:02:35,32.36366,-80.86848,32.364108,-80.868891,0.039,Incident on SNAKE RD near OKATIE HWY Drive with caution.,668.0, Okatie Hwy,L,Okatie,Beaufort,SC,29909-3965,US,US/Eastern,KHXD,2020-12-31 20:50:00,61.0,61.0,100.0,30.15,0.25,CALM,0.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239393,A-2956026,2,2020-12-31 18:54:24,2020-12-31 20:10:19,32.671655,-96.964505,32.671105,-96.975005,0.612,Incident on I-20 WB near MOUNTAIN CREEK PKY Drive with caution.,,I-20 W,R,Dallas,Dallas,TX,75236,US,US/Central,KRBD,2020-12-31 18:53:00,40.0,32.0,89.0,28.84,5.0,NNE,14.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
239414,A-2956047,2,2020-12-31 19:56:00,2020-12-31 22:02:06,34.068614,-118.216742,34.073824,-118.219272,0.388,SV WHI TOYT CAMERY PAR PLT 5EM562 FLED SCENE / VEH WEAVING AND SPEEDING IN LNS NB 5 JNO 110,,Golden State Fwy N,R,Los Angeles,Los Angeles,CA,90031,US,US/Pacific,KCQT,2020-12-31 19:52:00,59.0,59.0,35.0,29.74,10.0,VAR,3.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239423,A-2956056,2,2020-12-31 09:53:00,2020-12-31 18:52:01,33.356176,-117.530525,33.384166,-117.579395,3.419,1/4 MILE JNO. ^CT 727 ADV #2 SB HAS BEEN REOPENED // #1 SB REMAINS CLOSED // ALL NB LANES REMAIN OPEN / ONLY NB CD IS CLOSED,,I-5 N,R,San Clemente,San Diego,CA,92672,US,US/Pacific,KNXF,2020-12-31 09:55:00,58.0,58.0,51.0,29.89,10.0,CALM,0.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
239544,A-2956180,2,2020-12-31 00:08:00,2020-12-31 01:23:16,30.344643,-81.668121,30.349686,-81.668309,0.349,Incident on I-95 NB near 8TH ST Drive with caution.,,I-95 N,R,Jacksonville,Duval,FL,32209,US,US/Eastern,KJAX,2020-12-31 00:56:00,55.0,55.0,100.0,30.09,7.0,CALM,0.0,,Shallow Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239578,A-2956214,2,2020-12-31 20:39:17,2020-12-31 22:49:32,29.969043,-90.106594,29.96896,-90.106414,0.012,Incident on TULANE AVE near S CARROLLTON AVE Expect delays.,,Tulane Ave,R,New Orleans,Orleans,LA,70119,US,US/Pacific,KAUD,2020-12-31 20:55:00,71.0,71.0,100.0,29.8,5.0,S,17.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
239624,A-2956260,2,2020-12-31 01:34:00,2020-12-31 05:16:32,37.872995,-122.305845,37.869515,-122.304765,0.248,WB 80 JWO GILMAN. SIL HYUN SD ON RHS,,Eastshore Fwy W,R,Berkeley,Alameda,CA,94710,US,US/Pacific,KOAK,2020-12-31 01:53:00,51.0,51.0,89.0,30.21,9.0,N,3.0,,Shallow Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239670,A-2956307,2,2020-12-31 08:19:00,2020-12-31 10:56:14,37.936757,-120.604722,37.937238,-120.604046,0.05,OBF JUST BEFORE COPPER. ADD CALLER ADV ON OBYRNES FERRY BTWN REEDS TURNKPIKE AND BLK CREEK RD,3813.0, Obyrnes Ferry Rd,R,Copperopolis,Calaveras,CA,95228-9788,US,US/Pacific,KO22,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
239743,A-2956381,2,2020-12-31 03:26:00,2020-12-31 05:46:41,38.065406,-122.167378,38.069196,-122.183128,0.896,WB 780 AT MILITARY,,I-780 W,R,Benicia,Solano,CA,94510,US,US/Pacific,KCCR,2020-12-31 03:53:00,50.0,50.0,74.0,30.13,10.0,WNW,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239771,A-2956409,2,2020-12-31 19:03:00,2020-12-31 21:07:48,27.049916,-82.397589,27.049726,-82.397597,0.013,Incident on JACARANDA BLVD near S TAMIAMI TRL Expect delays.,4099.0, Tamiami Trl S,R,Venice,Sarasota,FL,34293,US,US/Eastern,KVNC,2020-12-31 18:53:00,74.0,74.0,71.0,30.0,10.0,S,3.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
239815,A-2956454,2,2020-12-31 17:06:00,2020-12-31 20:06:12,34.065309,-117.306679,34.065279,-117.317159,0.6,I10 W EO MOUNT VERNON AVE. 1039 841,,I-10 W,R,Colton,San Bernardino,CA,92324,US,US/Pacific,KSBD,2020-12-31 16:52:00,63.0,63.0,22.0,28.71,10.0,WSW,7.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
239909,A-2956548,2,2020-12-31 00:13:00,2020-12-31 02:14:57,33.36565,-117.249315,33.365408,-117.249727,0.029,Incident on OLD STAGE RD near S MISSION RD Right shoulder closed.,1492.0, Old Stage Rd,L,Fallbrook,San Diego,CA,92028-4123,US,US/Pacific,KNFG,2020-12-31 00:55:00,43.0,39.0,62.0,30.0,10.0,ENE,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
239984,A-2956625,2,2020-12-31 00:14:50,2020-12-31 02:29:17,29.958648,-90.076956,29.959084,-90.077597,0.049,Incident on CANAL ST near N CLAIBORNE AVE Drive with caution.,1613.0, Canal St,R,New Orleans,Orleans,LA,70112-2819,US,US/Pacific,KAUD,2020-12-31 00:55:00,66.0,66.0,100.0,29.92,8.0,SE,8.0,,Light Rain,False,False,True,False,False,False,True,False,False,False,False,False,False,Night,Night,Night,Night
240004,A-2956646,2,2020-12-31 20:43:23,2020-12-31 22:01:26,39.996907,-75.292792,39.998112,-75.293808,0.099,Incident on COUNTY LINE RD near WILLOW AVE Drive with caution.,399.0, E County Line Rd,R,Ardmore,Montgomery,PA,19003-2709,US,US/Eastern,KLOM,2020-12-31 20:35:00,37.0,33.0,67.0,30.03,10.0,N,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240016,A-2956658,2,2020-12-31 07:15:29,2020-12-31 09:15:37,25.6706,-80.439737,25.670574,-80.438628,0.069,Incident on SW 103RD LN near HOUSE 15091 Drive with caution.,10390.0, SW 150th Pl,L,Miami,Miami-Dade,FL,33196,US,US/Eastern,KTMB,2020-12-31 06:53:00,,,,30.09,10.0,SE,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
240121,A-2956764,2,2020-12-31 17:43:29,2020-12-31 18:55:29,32.661561,-97.266363,32.661566,-97.280388,0.816,Slow traffic on I-820 W - I-20 W from Anglin Dr/Exit 441 (I-20/I-820) to Wichita St (I-20/I-820) due to accident.,,I-20 W,R,Fort Worth,Tarrant,TX,76119,US,US/Central,KFWS,2020-12-31 17:47:00,37.0,29.0,93.0,28.9,7.0,N,14.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
240125,A-2956768,2,2020-12-31 07:55:00,2020-12-31 10:02:09,37.617219,-120.990275,37.614479,-120.980995,0.542,VEH LANDED ON ITS WHEELS,,CA-99 S,R,Modesto,Stanislaus,CA,95351,US,US/Pacific,KMOD,2020-12-31 07:53:00,42.0,34.0,92.0,30.07,4.0,NW,16.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
240157,A-2956802,2,2020-12-31 00:03:00,2020-12-31 01:51:43,40.441486,-80.009114,40.440933,-80.009263,0.039,Incident on I-279 SB near DOWNTOWN Expect long delays.,,I-279 S,R,Pittsburgh,Allegheny,PA,15222,US,US/Eastern,KAGC,2020-12-31 00:05:00,47.0,42.0,97.0,28.57,6.0,WSW,10.0,0.01,Light Rain,True,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240164,A-2956809,2,2020-12-31 04:28:35,2020-12-31 05:48:58,41.81876,-72.666009,41.81896,-72.660999,0.258,Incident on I-291 NB near OTHER RD Road closed. Take alternate route.,,I-291 E,R,Windsor,Hartford,CT,06095,US,US/Eastern,KBDL,2020-12-31 04:51:00,39.0,33.0,89.0,29.72,8.0,SSE,8.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240184,A-2956829,2,2020-12-31 12:20:00,2020-12-31 18:32:30,37.709346,-122.122113,37.709199,-122.121883,0.016,Incident on FOOTHILL BLVD near FAIRMONT DR Drive with caution.,,Foothill Blvd,R,San Leandro,Alameda,CA,94578,US,US/Pacific,KHWD,2020-12-31 11:54:00,58.0,58.0,58.0,30.15,10.0,NW,9.0,,Fair,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
240292,A-2956938,2,2020-12-31 03:38:30,2020-12-31 05:19:07,40.05333,-76.391018,40.05215,-76.396098,0.281,Incident on US WB near CENTERVILLE RD Drive with caution.,,Lincoln Hwy W,R,Lancaster,Lancaster,PA,17601,US,US/Eastern,KLNS,2020-12-31 03:53:00,48.0,45.0,77.0,29.52,10.0,WSW,6.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240335,A-2956983,2,2020-12-31 14:49:00,2020-12-31 16:57:56,33.928624,-118.102866,33.931714,-118.101436,0.229,Incident on I-605 NB near FIRESTONE BLVD Expect delays.,,I-605 N,R,Norwalk,Los Angeles,CA,90650,US,US/Pacific,KFUL,2020-12-31 14:53:00,69.0,69.0,25.0,29.79,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
240385,A-2957034,2,2020-12-31 05:36:00,2020-12-31 07:06:35,37.719057,-122.176798,37.717297,-122.175028,0.155,Incident on I-880 SB near DAVIS ST Left shoulder closed.,,I-880 S,R,San Leandro,Alameda,CA,94577,US,US/Pacific,KOAK,2020-12-31 05:53:00,50.0,50.0,74.0,30.21,10.0,N,7.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240575,A-2957226,2,2020-12-31 00:40:10,2020-12-31 06:30:00,45.057033,-117.941769,45.049119,-117.938389,0.571,Incident on I-84 EB near MP 277 Drive with caution.,,I-84 E,R,North Powder,Union,OR,97867,US,US/Pacific,KBKE,2020-12-31 00:53:00,21.0,21.0,85.0,26.54,7.0,CALM,0.0,,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240585,A-2957236,4,2020-12-31 09:02:30,2020-12-31 12:36:49,38.777958,-77.16837,38.777867,-77.168747,0.021,On Rt. 644 in the County of Fairfax in the vicinity of Elder Ave; Rt. 1223N/S (Fairfax County) motorists can expect delays due to a vehicle crash. All West lanes are closed.,,Franconia Rd,R,Springfield,Fairfax County,VA,22150,US,US/Eastern,KDAA,2020-12-31 08:56:00,49.0,45.0,79.0,30.05,10.0,NW,7.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
240607,A-2957259,2,2020-12-31 02:37:00,2020-12-31 04:17:16,39.773807,-84.215748,39.77491,-84.216762,0.093,Incident on SALEM AVE near KENWOOD AVE Drive with caution.,800.0, Dartmouth Dr,L,Dayton,Montgomery,OH,45406,US,US/Eastern,KDAY,2020-12-31 02:56:00,31.0,22.0,85.0,29.03,10.0,WNW,10.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240622,A-2957274,2,2020-12-31 21:23:30,2020-12-31 23:26:46,39.358745,-76.48217,39.349245,-76.50154,1.225,I-95 SOUTH AT EXIT 64 I 695 BALTIMORE BELTWAY (SB) M.M.64.2,,I-95 S,R,Rosedale,Baltimore County,MD,21237,US,US/Eastern,KMTN,2020-12-31 20:54:00,41.0,38.0,70.0,30.39,10.0,NW,5.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240800,A-2957456,2,2020-12-31 01:39:10,2020-12-31 03:39:10,43.983674,-121.488154,43.979878,-121.481799,0.411,A crash has occurred causing no to minimum delays. Use caution.,16594.0, Cascade Lakes Hwy,R,La Pine,Deschutes,OR,97739,US,US/Pacific,KBDN,2020-12-31 01:35:00,39.0,32.0,75.0,26.43,10.0,SSW,13.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240816,A-2957472,2,2020-12-31 04:22:00,2020-12-31 07:48:37,38.513301,-123.234844,38.514798,-123.239871,0.291,Incident on CA-1 near REEF CAMPGROUND RD Drive with caution.,18309.0, Highway 1,R,Jenner,Sonoma,CA,95450-9602,US,US/Pacific,KSTS,2020-12-31 03:53:00,42.0,39.0,92.0,30.05,10.0,NNW,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
240970,A-2957630,2,2020-12-31 01:43:00,2020-12-31 03:21:59,38.595867,-121.3923,38.595864,-121.392189,0.006,Incident on ARDEN WAY near MORSE AVE Drive with caution.,3098.0, Arden Way,R,Sacramento,Sacramento,CA,95864,US,US/Pacific,KMHR,2020-12-31 01:45:00,48.0,45.0,87.0,30.06,7.0,SE,7.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
241052,A-2957715,2,2020-12-31 09:35:30,2020-12-31 09:56:00,39.612469,-74.425261,39.614307,-74.420993,0.26,Stationary traffic on Garden State Pkwy N from Greenbush Rd/Exit 52 (Garden State Pkwy) to Burlington--Ocean County Border (Garden State Pkwy) due to accident.,,Garden State Pkwy N,R,Tuckerton,Burlington,NJ,08087,US,US/Eastern,KACY,2020-12-31 09:54:00,52.0,52.0,83.0,30.04,10.0,W,10.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
241161,A-2957824,2,2020-12-31 01:09:00,2020-12-31 02:53:34,42.269538,-87.844354,42.269499,-87.842772,0.081,Incident on SHERIDAN RD SB near MCKINLEY RD Drive with caution.,33.0, Sheridan Rd,R,Lake Bluff,Lake,IL,60044,US,US/Central,KUGN,2020-12-31 00:55:00,25.0,19.0,66.0,29.33,10.0,W,5.0,,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
